#,config,g,E,Eth_eV,n,Zeff,Eth_nm
26,5p5.(2P*<3/2>).6d,1.0,10.971488,1.158356,6,1,1070.346698
27,5p5.(2P*<3/2>).6d,3.0,10.978773,1.151071,6,1,1077.120525
28,5p5.(2P*<3/2>).7p,5.0,10.995725,1.134119,7,1,1093.220266
29,5p5.(2P*<3/2>).6d,5.0,10.998448,1.131396,6,1,1095.851870
30,5p5.(2P*<3/2>).7p,3.0,11.002923,1.126921,7,1,1100.203399
31,5p5.(2P*<3/2>).7p,1.0,11.015036,1.114808,7,1,1112.157615
32,5p5.(2P*<3/2>).6d,9.0,11.023645,1.106199,6,1,1120.812990
33,5p5.(2P*<3/2>).6d,7.0,11.037680,1.092164,6,1,1135.215838
34,5p5.(2P*<1/2>).6p,5.0,11.054723,2.381544,6,1,520.604383
35,5p5.(2P*<3/2>).6d,5.0,11.064754,1.065090,6,1,1164.072614
36,5p5.(2P*<1/2>).6p,3.0,11.069149,2.367118,6,1,523.777030
37,5p5.(2P*<3/2>).6d,7.0,11.100872,1.028972,6,1,1204.932558
38,5p5.(2P*<1/2>).6p,1.0,11.141222,2.295045,6,1,540.225613
39,5p5.(2P*<3/2>).6d,3.0,11.162565,0.967279,6,1,1281.783080
40,5p5.(2P*<3/2>).8s,5.0,11.258328,0.871516,8,1,1422.627088
41,5p5.(2P*<3/2>).4f,3.0,11.262697,0.867147,4,1,1429.794799
42,5p5.(2P*<3/2>).4f,5.0,11.263895,0.865949,4,1,1431.773019
43,5p5.(2P*<3/2>).4f,11.0,11.265285,0.864558,4,1,1434.075791
44,5p5.(2P*<3/2>).4f,9.0,11.265391,0.864453,4,1,1434.250809
45,5p5.(2P*<3/2>).4f,7.0,11.271043,0.858801,4,1,1443.689498
46,5p5.(2P*<3/2>).4f,5.0,11.271410,0.858434,4,1,1444.307044
47,5p5.(2P*<3/2>).8s,3.0,11.274185,0.855659,8,1,1448.990760
48,5p5.(2P*<3/2>).4f,7.0,11.275625,0.854219,4,1,1451.434076
49,5p5.(2P*<3/2>).4f,9.0,11.275635,0.854208,4,1,1451.451577
50,5p5.(2P*<1/2>).5d,5.0,11.301491,2.134776,5,1,580.783176
51,5p5.(2P*<1/2>).5d,5.0,11.338042,2.098225,5,1,590.900425
52,5p5.(2P*<1/2>).5d,7.0,11.375124,2.061143,5,1,601.531425
53,5p5.(2P*<3/2>).7d,3.0,11.422452,0.707392,7,1,1752.694630
54,5p5.(2P*<3/2>).8p,3.0,11.425550,0.704293,8,1,1760.405763
55,5p5.(2P*<3/2>).8p,5.0,11.433992,0.695852,8,1,1781.760786
56,5p5.(2P*<3/2>).7d,1.0,11.438774,0.691070,7,1,1794.090041
57,5p5.(2P*<3/2>).8p,7.0,11.439396,0.690448,8,1,1795.707053
58,5p5.(2P*<3/2>).8p,3.0,11.447841,0.682003,8,1,1817.943460
59,5p5.(2P*<3/2>).8p,5.0,11.452535,0.677309,8,1,1830.541403
60,5p5.(2P*<3/2>).7d,9.0,11.461710,0.668133,7,1,1855.680017
61,5p5.(2P*<3/2>).8p,1.0,11.475374,0.654470,8,1,1894.422864
62,5p5.(2P*<3/2>).7d,7.0,11.486655,0.643188,7,1,1927.650390
63,5p5.(2P*<3/2>).7d,5.0,11.490671,0.639172,7,1,1939.762062
64,5p5.(2P*<3/2>).7d,3.0,11.495076,0.634768,7,1,1953.220680
65,5p5.(2P*<3/2>).7d,5.0,11.496005,0.633839,7,1,1956.083152
66,5p5.(2P*<3/2>).7d,7.0,11.497501,0.632343,7,1,1960.711172
67,5p5.(2P*<3/2>).5f,3.0,11.575496,0.554348,5,1,2236.577802
68,5p5.(2P*<3/2>).5f,5.0,11.575939,0.553905,5,1,2238.366969
69,5p5.(2P*<3/2>).5f,11.0,11.577331,0.552512,5,1,2244.007933
70,5p5.(2P*<3/2>).5f,9.0,11.577421,0.552423,5,1,2244.372712
71,5p5.(2P*<3/2>).9s,5.0,11.579907,0.549936,9,1,2254.519678
72,5p5.(2P*<3/2>).5f,7.0,11.580306,0.549538,5,1,2256.154143
73,5p5.(2P*<3/2>).5f,5.0,11.580616,0.549228,5,1,2257.427582
74,5p5.(2P*<3/2>).5f,7.0,11.582706,0.547138,5,1,2266.050681
75,5p5.(2P*<3/2>).5f,9.0,11.582716,0.547128,5,1,2266.090442
76,5p5.(2P*<3/2>).5g,5.0,11.582755,0.547089,5,1,2266.254054
77,5p5.(2P*<3/2>).5g,7.0,11.582794,0.547050,5,1,2266.415619
78,5p5.(2P*<3/2>).9s,3.0,11.582865,0.546978,9,1,2266.710637
79,5p5.(2P*<3/2>).5g,13.0,11.583519,0.546325,5,1,2269.423265
80,5p5.(2P*<3/2>).5g,11.0,11.583519,0.546325,5,1,2269.423265
81,5p5.(2P*<3/2>).5g,9.0,11.585054,0.544790,5,1,2275.817594
82,5p5.(2P*<3/2>).5g,7.0,11.585054,0.544790,5,1,2275.817594
83,5p5.(2P*<3/2>).5g,11.0,11.585844,0.544000,5,1,2279.122552
84,5p5.(2P*<3/2>).5g,9.0,11.585844,0.544000,5,1,2279.122552
85,5p5.(2P*<1/2>).5d,3.0,11.607182,1.829085,5,1,677.848316
86,5p5.(2P*<3/2>).9p,3.0,11.662815,0.467029,9,1,2654.744739
87,5p5.(2P*<3/2>).9p,5.0,11.668172,0.461672,9,1,2685.549026
88,5p5.(2P*<3/2>).8d,1.0,11.669931,0.459913,8,1,2695.820868
89,5p5.(2P*<3/2>).9p,7.0,11.671194,0.458650,9,1,2703.243858
90,5p5.(2P*<3/2>).9p,3.0,11.675451,0.454393,9,1,2728.569329
91,5p5.(2P*<3/2>).9p,5.0,11.678101,0.451743,9,1,2744.575583
92,5p5.(2P*<3/2>).8d,9.0,11.682575,0.447269,8,1,2772.028157
93,5p5.(2P*<3/2>).8d,3.0,11.682783,0.447060,8,1,2773.322216
94,5p5.(2P*<3/2>).9p,1.0,11.689912,0.439932,9,1,2818.260163
95,5p5.(2P*<3/2>).8d,5.0,11.689931,0.439913,8,1,2818.381244
96,5p5.(2P*<3/2>).8d,7.0,11.690498,0.439346,8,1,2822.019162
97,5p5.(2P*<3/2>).8d,5.0,11.696599,0.433245,8,1,2861.759150
98,5p5.(2P*<3/2>).8d,7.0,11.700388,0.429455,8,1,2887.009211
99,5p5.(2P*<3/2>).8d,3.0,11.739502,0.390342,8,1,3176.296643
100,5p5.(2P*<3/2>).6f,3.0,11.745628,0.384215,6,1,3226.945893
101,5p5.(2P*<3/2>).6f,5.0,11.745906,0.383938,6,1,3229.279084
102,5p5.(2P*<3/2>).6f,11.0,11.746783,0.383060,6,1,3236.675751
103,5p5.(2P*<3/2>).6f,9.0,11.746848,0.382996,6,1,3237.220837
104,5p5.(2P*<3/2>).6f,7.0,11.748509,0.381335,6,1,3251.323075
